,Metric,LR_final,SVM_final
0,Train Recall,0.7124282067645182,0.7731333758774729
1,Test Recall,0.7133082449538146,0.7789941840574752
2,Train Precision,0.648,0.667
3,Test Precision,0.138,0.15
4,Train Accuracy,0.6618,0.69264
5,Test Accuracy,0.6109406233283595,0.6177538782060306
6,F1 Score,0.23180832731113457,0.251172025812145
7,AUC Score,0.7008943911858535,0.7283015212686633
8,KS Score,0.3240690715646872,0.3817313311889023
